Código;;Site;Rua;CEP;Cidade;Estado;CNPJ;Data de início de atividade;
1;SENAI;cursos.sesisenai.org.br;Rod. Admar Gonzaga 2765;88034-001;Florianópolis;SC;03.774.688/0002-36;11/05/2000;
2;FUNDAÇÃO DOM CABRAL SP;https://www.fdc.org.br/;Av. Dr. Cardoso de Melo 1.184;04548-004;São Paulo;SP;19.268.267/0003-54;09/01/2008;
3;FUNDAÇÃO DOM CABRAL MG;https://www.fdc.org.br/;Rua Bernardo Guimarães 3.071;30140-083;Belo Horizonte;MG;19.268.267/0001-92;04/11/1976;
4;FUNDAÇÃO DOM CABRAL MG;https://www.fdc.org.br/;Av. Princesa Diana 760;34018-006;Nova Lima;MG;19.268.267/0001-92;04/11/1976;
5;SENAC;https://www.ead.senac.br/;;;São Paulo;SP;03.709.814/0001-98;11/01/2000;
6;ITC CURSOS E TREINAMENTOS;https://www.itccursosetreinamentos.com.br/;;;Florianópolis;SC;03.016.693/0001-07;08/03/1999;
7;SEST SENAT;https://www.sestsenat.org.br/;Ed. Clésio Andrade;70070-944;Brasília;DF;73.471.989/0001-95;08/10/1993;
8;PREPARA CURSOS;https://www.prepara.com.br/;Avenida Bady Bassit 4960;;São José do Rio Preto;SP;13.696.742/0001-45;24/05/2011;
9;CDL FLORIANOPOLIS;https://www.cdlflorianopolis.org.br/capacitacao;Rua Felipe Schmidt 679;88010-001;Florianópolis;SC;83.901.660/0001-70;30/04/1971;
10;PRÓLOGO ACADEMY;https://prologo.academy/;;;;;Não encontrado;-;
11;IFSUL;http://www.ifsul.edu.br/;;;;;10.729.992/0001-46;30/12/2008;
12;ANHAGUERA;https://www.anhanguera.com/cursos/;;;;;04.310.392/0034-04;06/01/2014;
13;ECONET TREINAMENTO E DESENVOVIMENTO;https://www.econettreinamento.com.br/;Rua Gago Coutinho nº 553;82.510-230;Curitiba ;PR;09.597.887/0001-11;19/05/2008;
14;CENOFISCO - CENTRO DE CAPACITAÇÃO PROFISSIONAL;https://cursos.cenofisco.com.br/;Av. Paulista 1.337;01311-200;São Paulo;SP;07.799.454/0001-13;04/01/2006;
15;CEFIS;https://cefis.com.br/;;;;;20.799.537/0001-70;07/08/2014;
16;;;;;;;;;
17;FGV - FUNDAÇÃO GETÚLIO VARGAS;https://portal.fgv.br/;;;;;33.641.663/0001-44;16/02/1967;
18;CONEXÃO CONSULTORIA;https://conexaoconsultoria.net.br/;;;;;21.778.042/0001-28;29/01/2015;
19;4BLUE;https://www.4blue.com.br/treinamentos/cursos-rapidos/; ;;;;18.883.781/0001-75;12/09/2013;
20;ABIMAQ;https://abimaq.org.br/cursos;Avenida Jabaquara 2925 Entrada Social: Rua Bento de Lemos s/n;04045-902;São Paulo;SP;46.390.209/0001-00;05/03/1975;
21;ABRASEL;https://www.abrasel.com.br/conexao/cursos;Rua Bambuí 20 cj 102/103 Serra;30.210-490;Belo Horizonte;MG;13.353.423/0001-37;02/03/2011;
22;ACIL;http://acil.com.br/agenda;Rua Minas Gerais 297 1º Andar;86010-905;Londrina ;PR;76.929.157/0001-68;16/11/1973;
23;ACCELERE;https://accelere.se/quem-somos/;Av. T-1 nº 2208 1º andar Setor Bueno;74.215-022;Goiânia;GO;22.491.853/0001-06;24/04/2015;
24;AGÊNCIA DE BOLSO;https://agenciadebolso.com/;Av. Juscelino Kubitscheck 350;89201-100;Joinville;SC;33.221.091/0001-44;01/04/2019;
25;AGREGA CURSOS;http://agregacursos.com.br/;;;;;17.887.218/0001-02;05/04/2013;
26;AJORPEME;https://www.ajorpeme.com.br/agenda;R. Urussanga 292 - Bucarein;89202-400??;Joinville;SC;06.064.456/0001-00;26/11/2003;
27;BOM NEGÓCIO;http://www.bomnegocio.curitiba.br/programa/o-que-e/;Rua Engenheiros Rebouças 1732 1º Andar - Rebouças;80230-040;Curitiba ;PR;Não encontrado;-;
28;BRADESCO ESCOLA;https://www.ev.org.br/areas-de-interesse;;;;;60.701.521/0001-06;30/04/1970;
29;CAIO MELO CONTABILIDADE SEM MIMIMI;https://caiomelo.com.br/csm/;;;;;15.352.155/0001-64;10/04/2012;
30;CAP CURSOS PROFISSIONALIZANTES;https://ead.cursosonlinecap.com.br/;;;Rosário;MA;Não encontrado;-;
31;UDEMY;https://udemy.com/;;;;;29.030.862/0001-49;08/11/2017;
32;CDL MATRIZ;https://cdls.org.br/author;;;;;03.488.542/0001-43;04/03/1999;
33;CEPS;https://portalceps.com.br/cursos/habilitadores/;;;;;27.006.371/0001-37;01/02/2017;
34;SESCAR LDR;https://www.sescapldr.com.br/cursos;;;;;Não encontrado;-;
35;ESCON ESCOLA DE CURSOS ONLINE;https://cursosescon.com.br/cursos;;;;;11.362.429/0001-45;30/11/2009;
36;O HUB;https://www.ohub.com.br/empresa/libertas-rotinas-administrativas-financeiras-porto-alegre-rs-420269;;;;;20.812.402/0001-06;11/08/2014;
37;CRUZEIRO DO SUL;https://www.cruzeirodosul.edu.br/;;;;;62.984.091/0001-02;18/12/1970;
