id_prod;nome_produto;id_conc;cidade_produto;cep_produto;endereco_produto;estado_produto;data_produto;tipo_oferta;grande_area;sub_area;pubico_alvo;faixa_peco;duração;maturidade;100% Online;grande_area_legenda;sub_area_legenda;
7888;Rodadas de Negócios;294;;;;;01/01/2022;6;2.0;2.4;1;Sem Informação;;2;Sem Informação;mercado;vendas;
7889;Consultoria de Prospecção - GERAL;294;;;;;01/01/2022;6;5.0;5.2;1;Sem Informação;;1;Sem Informação;estratégia;qual negócio entrar;
7890;Consultoria de Prospecção - Solução EMPRETEC;294;;;;;01/01/2022;6;5.0;5.2;1;Sem Informação;;1;Sem Informação;estratégia;qual negócio entrar;
1197;Superando barreiras com criatividade;294;;;Florianópolis;SC;13/12/2021;1;3.0;3.4;2;Gratuito;12.0;2;Sim;pessoas;liderança;
1214;Empreendendo no mundo da imaginação;294;;;Florianópolis;SC;13/12/2021;1;4.0;4.1;2;Gratuito;12.0;2;Sim;produção;processo produtivo;
1215;Passo a passo para alcançar o sucesso financeiro;294;;;Florianópolis;SC;13/12/2021;1;1.0;1.1;1;Gratuito;1.0;1;Sim;financeiro;gestão financeira;
1224;O despertar do empreendedorismo nas escolas;294;;;Florianópolis;SC;13/12/2021;1;4.0;4.1;2;Gratuito;18.0;2;Sim;produção;processo produtivo;
1225;Empreendendo em educação a distância;294;;;Florianópolis;SC;13/12/2021;1;3.0;3.4;2;Gratuito;6.0;2;Sim;pessoas;liderança;
1226;Marketing digital para o empreendedor;294;;;Florianópolis;SC;14/12/2021;1;2.0;2.7;1;Gratuito;2.0;1;Sim;mercado;marketing digital;
1240;Compras governamentais para fornecedores - MEIs;294;;;Florianópolis;SC;14/12/2021;1;2.0;2.2;2;Gratuito;8.0;1;Sim;mercado;fornecedores;
1254;Bora empreender;294;;;Florianópolis;SC;14/12/2021;1;1.0;1.1;1;Gratuito;40.0;1;Sim;financeiro;gestão financeira;
1255;Liderança: como desenvolver times de alta performance;294;;;Florianópolis;SC;14/12/2021;1;3.0;3.4;1;Gratuito;2.0;1;Sim;pessoas;liderança;
1268;Empreendedorismo e características do comportamento empreendedor;294;;;Florianópolis;SC;14/12/2021;1;3.0;3.4;1;Gratuito;26.0;1;Sim;pessoas;liderança;
1269;Gestão de pessoas;294;;;Florianópolis;SC;14/12/2021;1;3.0;3.2;1;Gratuito;8.0;1;Sim;pessoas;treinamento;
1285;Importação: como comprar do mundo;294;;;Florianópolis;SC;14/12/2021;1;2.0;2.2;1;Gratuito;10.0;1;Sim;mercado;fornecedores;
1298;Atualização em empreendedorismo;294;;;Florianópolis;SC;14/12/2021;1;4.0;4.4;2;Gratuito;26.0;2;Sim;produção;produtividade;
1299;Controle de gastos na indústria;294;;;Florianópolis;SC;14/12/2021;1;1.0;1.1;1;Gratuito;3.0;2;Sim;financeiro;gestão financeira;
1312;Internacionalização de Startups;294;;;Florianópolis;SC;14/12/2021;1;5.0;5.1;2;Gratuito;2.0;2;Sim;estratégia;expansão;
1325;Jovem empreendedor no campo;294;;;Florianópolis;SC;14/12/2021;1;1.0;1.1;2;Gratuito;32.0;2;Sim;financeiro;gestão financeira;
1326;Como administrar uma empresa familiar;294;;;Florianópolis;SC;14/12/2021;1;1.0;1.1;1;Gratuito;2.0;2;Sim;financeiro;gestão financeira;
1340;Atitudes empreendedoras e tipos de empreendedorismo;294;;;Florianópolis;SC;14/12/2021;1;4.0;4.1;1;Gratuito;10.0;2;Sim;produção;processo produtivo;
1341;A liderança na gestão de equipes;294;;;Florianópolis;SC;14/12/2021;1;3.0;3.4;2;Gratuito;3.0;2;Sim;pessoas;liderança;
1355;Invista no planejamento;294;;;Florianópolis;SC;14/12/2021;1;4.0;4.1;2;Gratuito;3.0;2;Sim;produção;processo produtivo;
