id_prod;nome_produto;id_conc;cidade_produto;cep_produto;endereco_produto;estado_produto;data_produto;tipo_oferta;grande_area;sub_area;pubico_alvo;faixa_peco;duração;maturidade;100% Online
1;Digitalização na Indústria;1;;;;SC;11/12/2021;4;5;5.4;3;35,6;80;4;Sim
2;Cloud Computing na Indústria;1;;;;SC;11/12/2021;4;5;5.4;3;92,55;80;4;Sim
3;Lean Manufacturing na Indústria;1;;;;SC;11/12/2021;4;4;4.4;3;35,6;80;4;Sim
4;Inteligência Artificial na Indústria;1;;;;SC;11/12/2021;4;5;5.4;3;89;80;4;Sim
5;Segurança Cibernética na Indústria;1;;;;SC;11/12/2021;4;5;5.4;3;24,47;55;4;Sim
6;Ferramentas aplicadas no Lean Manufacturing;1;;;;SC;11/12/2021;4;4;4.1;3;74,75;60;4;Sim
7;Inteligência Artificial (IA): Aplicações na Indústria;1;;;;SC;11/12/2021;4;5;5.4;3;49,84;40;4;Sim
8;Softskills - Competências do profissional da indústria 4.0;1;;;;SC;11/12/2021;4;4;4.4;3;49,84;40;1;Sim
9;Assistente de Controle de Qualidade;1;;;;SC;15/11/2021;4;4;4.1;3;453,6;180;2;Sim
10;Conectando-se à Indústria 4.0;1;;;;SC;15/11/2021;4;3;3.2;3;49,84;40;3;Sim
11;Controlador e Programador de Produção;1;;;;SC;15/11/2021;4;4;4.6;3;398,72;160;2;Sim
12;Cybersecurity Essentials;1;;;;SC;15/11/2021;4;5;5.4;3;36,95;30;2;Sim
13;Desvendando a Digitalização dos Processos Industriais;1;;;;SC;15/11/2021;4;4;4.1;2;24,92;20;4;Sim
14;Ferramentas da Qualidade;1;;;;SC;15/11/2021;1;4;4.1;3;303;80;2;Sim
15;Inspetor de Qualidade;1;;;;SC;15/11/2021;4;4;4.1;3;398,72;160;2;Sim
16;Inteligência Artificial na Indústria;1;;;;SC;15/11/2021;4;5;5.4;3;89;80;3;Sim
17;Administração Financeira;1;Rua São Paulo, 1147;89030-001;Blumenau;SC;15/11/2021;2;1;1.1;3;661;40;2;Não
18;Qualidade no Atendimento ao Cliente;1;Rua São Paulo, 1147;89030-001;Blumenau;SC;15/11/2021;2;4;4.2;3;243;16;2;Não
19;Supervisor de Produção;1;Rua São Paulo, 1147;89030-001;Blumenau;SC;15/11/2021;2;4;4.4;3;2149;186;2;Não
20;Programa de Desenvolvimento de Lideranças e Comprometimento;1;Rua São Paulo, 1147;89030-001;Blumenau;SC;15/11/2021;2;3;3.4;3;677,36;16;2;Não
21;Administração Financeira;1;Rua Henrique Vigarani, 163;88305-610;Itajaí;SC;15/11/2021;2;1;1.1;3;661;40;2;Não
22;Controle de Qualidade Industrial;1;Rua Henrique Vigarani, 163;88305-610;Itajaí;SC;15/11/2021;2;4;4.1;3;542;30;3;Não
23;Formação Gerencial;1;Rodovia BR-101, 7235;88104-800;São José;SC;15/11/2021;2;3;3.3;2;386;16;3;Não
24;Gestão de Recursos Humanos;1;Rodovia BR-101, 7235;88104-800;São José;SC;15/11/2021;2;3;3.3;2;979;60;3;Não
25;PÓS-GRADUAÇÃO EM GESTÃO DE NEGÓCIOS;2;Av. Dr. Cardoso de Melo, 1.184;04548-004;São Paulo;SP;15/11/2021;2;4;4.1;2;38650;516;4;Não
26;PÓS-GRADUAÇÃO EM GESTÃO DE MARKETING E ESTRATÉGIAS INOVADORAS DE MERCADO;2;Rua Odila Maia Rocha Brito, 394;13092-110;Campinas;SP;15/11/2021;2;2;2.7;2;39980;450;4;Não
27;PÓS-GRADUAÇÃO EM GESTÃO DE PESSOAS E LIDERANÇA;2;Rua Odila Maia Rocha Brito, 394;13092-110;Campinas;SP;15/11/2021;2;3;3.4;2;39980;450;4;Não
28;EXECUTIVE MBA;2;Av. Dr. Cardoso de Melo, 1.184;04548-004;São Paulo;SP;15/11/2021;2;3;3.4;2;122000;1500;4;Não
29;PGA - PROGRAMA DE GESTÃO AVANÇADA;2;Av. Dr. Cardoso de Melo, 1.184;04548-004;São Paulo;SP;15/11/2021;2;3;3.4;2;180000;160;4;Não
30;GOVERNANÇA, RISCO E COMPLIANCE;2;Av. Dr. Cardoso de Melo, 1.184;04548-004;São Paulo;SP;15/11/2021;2;4;4.1;2;6510;29;4;Não
31;EXECUTIVE MBA;4;Av. Princesa Diana, 760;34018-006;Nova Lima;MG;15/11/2021;2;3;3.4;2;109000;1500;4;Não
32;MPA - MESTRADO PROFISSIONAL EM ADMINISTRAÇÃO;4;Av. Princesa Diana, 760;34018-006;Nova Lima;MG;15/11/2021;2;3;3.4;2;118650;360;4;Não
33;GESTÃO ECONÔMICO-FINANCEIRA;4;;;;MG;15/11/2021;4;1;1.1;2;6100;40;4;Sim
34;PGA - PROGRAMA DE GESTÃO AVANÇADA;4;Av. Princesa Diana, 760;34018-006;Nova Lima;MG;15/11/2021;2;3;3.4;2;180000;160;4;Não
35;PDE - PROGRAMA DE DESENVOLVIMENTO DE EXECUTIVOS;4;Av. Princesa Diana, 760;34018-006;Nova Lima;MG;15/11/2021;2;3;3.4;2;37590;160;4;Não
36;PCR - PROGRAMA DE CAPACITAÇÃO PARA RESULTADOS;4;;;;MG;15/11/2021;4;4;4.1;2;15960;71;4;Sim
37;PDC - PROGRAMA DE DESENVOLVIMENTO DE CONSELHEIROS;4;Av. Princesa Diana, 760;34018-006;Nova Lima;MG;15/11/2021;2;3;3.4;2;20900;106;4;Não
38;TRANSFORMAÇÃO DIGITAL;4;;;;MG;15/11/2021;4;4;4.4;2;10900;40;4;Sim
39;LIDERANÇA TRANSFORMADORA;4;Av. Princesa Diana, 760;34018-006;Nova Lima;MG;15/11/2021;2;3;3.4;2;17900;40;4;Não
40;LIDERANÇA DE IMPACTO: CONEXÃO E AÇÃO PARA RESULTADOS;4;;;;MG;15/11/2021;2;3;3.4;2;5500;24;4;Sim
41;PÓS-GRADUAÇÃO EM GESTÃO COM ÊNFASE EM NEGÓCIOS;3;Rua Bernardo Guimarães, 3.071;30140-083;Belo Horizonte;MG;15/11/2021;2;3;3.4;2;32500;450;4;Não
42;PÓS-GRADUAÇÃO EM GESTÃO COM ÊNFASE EM FINANÇAS;3;Rua Bernardo Guimarães, 3.071;30140-083;Belo Horizonte;MG;15/11/2021;2;1;1.1;2;32500;450;4;Não
43;PÓS-GRADUAÇÃO EM GESTÃO COM ÊNFASE EM MARKETING;3;Rua Bernardo Guimarães, 3.071;30140-083;Belo Horizonte;MG;15/11/2021;2;2;2.7;2;32500;450;4;Não
44;PÓS-GRADUAÇÃO EM GESTÃO COM ÊNFASE EM PROJETOS;3;Rua Bernardo Guimarães, 3.071;30140-083;Belo Horizonte;MG;15/11/2021;2;4;4.1;2;32500;450;4;Não
45;Gestão de Conteúdo em Mídias Sociais;5;;;;;15/11/2021;1;3;3.5;3;266;32;3;Sim
46;Estratégias de Negociação Internacional;5;;;;;15/11/2021;1;2;2.6;2;227;24;4;Sim
47;Gestão das Potencialidades Humanas e Avaliação de Desempenho;5;;;;;15/11/2021;1;3;3.1;2;454;60;4;Sim
48;Gestão Financeira e Finanças Corporativas;5;;;;;15/11/2021;1;1;1.1;2;798;40;4;Sim
49;Logística Internacional e Operações Globais;5;;;;;15/11/2021;1;2;2.6;2;371;40;4;Sim
50;Modelo de Gestão por Resultados;5;;;;;15/11/2021;1;3;3.4;2;330;32;4;Sim
51;Primeiros Passos para Empreender;5;;;;;15/11/2021;1;5;5.2;1;394;24;1;Sim
52;Supply Chain Management;5;;;;;15/11/2021;1;4;4.6;2;371;40;4;Sim
53;Ações Eficazes em Vendas;5;;;;;15/11/2021;4;2;2.4;3;86,42;20;3;Sim
54;Estratégias de Negociação;5;;;;;15/11/2021;4;2;2.4;2;86,42;20;3;Sim
55;Gerência de Lojas;5;;;;;15/11/2021;4;2;2.3;2;86,42;20;3;Sim
56;Gestão de E-commerce;5;;;;;15/11/2021;4;4;4.7;2;136,5;40;4;Sim
57;Promoção e Negociação Internacional com Foco na Exportação;5;;;;;15/11/2021;4;2;2.6;2;136,5;40;4;Sim
58;Técnicas Campeãs de Vendas;5;;;;;15/11/2021;4;2;2.4;3;86,42;20;4;Sim
59;Técnicas de Fidelização: Fazendo o Cliente Voltar;5;;;;;15/11/2021;4;4;4.2;3;86,42;20;4;Sim
60;Administração de Conflitos;5;;;;;15/11/2021;4;3;3.4;2;86,42;20;4;Sim
61;Administração do Tempo;5;;;;;15/11/2021;4;4;4.4;2;86,42;20;3;Sim
62;Assistente Administrativo;5;;;;;15/11/2021;4;3;3.2;3;336;160;2;Sim
63;Assistente de Recursos Humanos;5;;;;;15/11/2021;4;3;3.2;3;336;160;3;Sim
64;Comunicação Empresarial;5;;;;;15/11/2021;4;3;3.4;2;136,5;40;4;Sim
65;Custos e Formação do Preço de Venda;5;;;;;15/11/2021;4;2;2.5;1;99,75;30;2;Sim
66;Custos Logísticos;5;;;;;15/11/2021;4;4;4.6;2;99,75;30;3;Sim
67;Desenvolvimento de Equipes;5;;;;;15/11/2021;4;3;3.1;2;86,42;20;4;Sim
68;Ferramentas de Planejamento e Gestão Empresarial;5;;;;;15/11/2021;4;4;4.4;2;157,5;60;4;Sim
69;Gerenciamento de Custos;5;;;;;15/11/2021;4;2;2.5;2;136,5;40;4;Sim
70;Gestão de Pessoas por Competência;5;;;;;15/11/2021;4;3;3.1;2;120,75;36;4;Sim
71;Logística de Armazenagem e Distribuição;5;;;;;15/11/2021;4;4;4.3;2;99,75;30;4;Sim
72;Planejamento Estratégico;5;;;;;15/11/2021;4;4;4.1;2;99,75;30;4;Sim
73;Processos Logísticos de Estoques e Compras;5;;;;;15/11/2021;4;4;4.3;2;86,42;20;4;Sim
74;Recrutamento e Seleção;5;;;;;15/11/2021;4;3;3.1;2;136,5;40;4;Sim
75;Técnicas de Liderança;5;;;;;15/11/2021;4;3;3.4;2;86,42;20;4;Sim
76;Treinamento e Desenvolvimento;5;;;;;15/11/2021;4;3;3.2;2;86,42;20;4;Sim
77;Tomada de Decisão no Ambiente Organizacional;5;;;;;15/11/2021;4;3;3.4;2;86,42;20;4;Sim
78;C-Level CFO - Chief Financial Officer;17;Rua Itapeva, 432;01332-000;São Paulo;SP;15/11/2021;2;1;1.1;2;54573,75;120;4;Não
79;C-Level CIO - Chief Information Officer;17;Rua Itapeva, 432;01332-000;São Paulo;SP;15/11/2021;2;4;4.1;2;54573,75;120;4;Não
80;CEO - Chief Executive Officer;17;Rua Itapeva, 432;01332-000;São Paulo;SP;15/11/2021;2;3;3.4;2;54573,75;120;4;Não
81;CHRO – Chief Human Resources Officer;17;Rua Itapeva, 432;01332-000;São Paulo;SP;15/11/2021;2;3;3.1;2;54573,75;96;4;Não
82;COO – Chief Operating Officer: Gestão de Operações;17;Rua Itapeva, 432;01332-000;São Paulo;SP;15/11/2021;2;4;4.6;2;54573,75;120;4;Não
83;COO – Chief Operating Officer: Gestão de Serviços;17;Rua Itapeva, 432;01332-000;São Paulo;SP;15/11/2021;2;4;4.2;2;54573,75;120;4;Não
84;MBA em Gerenciamento de Projetos;17;Av. Paulista, 548;01310-000;São Paulo;SP;15/11/2021;2;4;4.1;2;41516,22;432;4;Não
85;MBA em Gerenciamento de Projetos;17;Av. Brigadeiro Faria Lima, 1188;01452-002;São Paulo;SP;15/11/2021;2;4;4.1;2;40702,18;432;4;Não
86;Pós-Graduação em Administração de Empresas;17;Av. Paulista, 548;01310-000;São Paulo;SP;15/11/2021;2;3;3.4;2;28334,82;432;4;Não
87;Pós-Graduação em Administração de Empresas;17;Av. Brigadeiro Faria Lima, 1188;01452-002;São Paulo;SP;15/11/2021;2;3;3.4;2;28334,82;432;4;Não
