id_prod,nome_produto,id_conc,cidade_produto,cep_produto,endereco_produto,estado_produto,data_produto,tipo_oferta,grande_area,sub_area,pubico_alvo,faixa_peco,duração,maturidade,100% Online,grande_area_legenda,sub_area_legenda,valor_hora,maturidade_legenda
1,Digitalização na Indústria,1,,,,SC,11/12/2021,VÍDEOS,5.0,5.4,3,35.6,80.0,4.0,Sim,estratégia,processos ti,0.445,Acima de 5 anos
2,Cloud Computing na Indústria,1,,,,SC,11/12/2021,VÍDEOS,5.0,5.4,3,92.55,80.0,4.0,Sim,estratégia,processos ti,1.1568749999999999,Acima de 5 anos
3,Lean Manufacturing na Indústria,1,,,,SC,11/12/2021,VÍDEOS,4.0,4.4,3,35.6,80.0,4.0,Sim,produção,produtividade,0.445,Acima de 5 anos
4,Inteligência Artificial na Indústria,1,,,,SC,11/12/2021,VÍDEOS,5.0,5.4,3,89.0,80.0,4.0,Sim,estratégia,processos ti,1.1125,Acima de 5 anos
5,Segurança Cibernética na Indústria,1,,,,SC,11/12/2021,VÍDEOS,5.0,5.4,3,24.47,55.0,4.0,Sim,estratégia,processos ti,0.44490909090909087,Acima de 5 anos
6,Ferramentas aplicadas no Lean Manufacturing,1,,,,SC,11/12/2021,VÍDEOS,4.0,4.1,3,74.75,60.0,4.0,Sim,produção,processo produtivo,1.2458333333333333,Acima de 5 anos
7,Inteligência Artificial (IA): Aplicações na Indústria,1,,,,SC,11/12/2021,VÍDEOS,5.0,5.4,3,49.84,40.0,4.0,Sim,estratégia,processos ti,1.246,Acima de 5 anos
8,Softskills - Competências do profissional da indústria 4.0,1,,,,SC,11/12/2021,VÍDEOS,4.0,4.4,3,49.84,40.0,1.0,Sim,produção,produtividade,1.246,Pré-Operação
9,Assistente de Controle de Qualidade,1,,,,SC,15/11/2021,VÍDEOS,4.0,4.1,3,453.6,180.0,2.0,Sim,produção,processo produtivo,2.52,Até 2 anos
10,Conectando-se à Indústria 4.0,1,,,,SC,15/11/2021,VÍDEOS,3.0,3.2,3,49.84,40.0,3.0,Sim,pessoas,treinamento,1.246,Entre 2 e 5 anos
11,Controlador e Programador de Produção,1,,,,SC,15/11/2021,VÍDEOS,4.0,4.6,3,398.72,160.0,2.0,Sim,produção,logística,2.492,Até 2 anos
12,Cybersecurity Essentials,1,,,,SC,15/11/2021,VÍDEOS,5.0,5.4,3,36.95,30.0,2.0,Sim,estratégia,processos ti,1.2316666666666667,Até 2 anos
13,Desvendando a Digitalização dos Processos Industriais,1,,,,SC,15/11/2021,VÍDEOS,4.0,4.1,2,24.92,20.0,4.0,Sim,produção,processo produtivo,1.246,Acima de 5 anos
14,Ferramentas da Qualidade,1,,,,SC,15/11/2021,EAD,4.0,4.1,3,303.0,80.0,2.0,Sim,produção,processo produtivo,3.7875,Até 2 anos
15,Inspetor de Qualidade,1,,,,SC,15/11/2021,VÍDEOS,4.0,4.1,3,398.72,160.0,2.0,Sim,produção,processo produtivo,2.492,Até 2 anos
16,Inteligência Artificial na Indústria,1,,,,SC,15/11/2021,VÍDEOS,5.0,5.4,3,89.0,80.0,3.0,Sim,estratégia,processos ti,1.1125,Entre 2 e 5 anos
17,Administração Financeira,1,"Rua São Paulo, 1147",89030-001,Blumenau,SC,15/11/2021,PRESENCIAL,1.0,1.1,3,661.0,40.0,2.0,Não,financeiro,gestão financeira,16.525,Até 2 anos
18,Qualidade no Atendimento ao Cliente,1,"Rua São Paulo, 1147",89030-001,Blumenau,SC,15/11/2021,PRESENCIAL,4.0,4.2,3,243.0,16.0,2.0,Não,produção,processo prestação serviço,15.1875,Até 2 anos
19,Supervisor de Produção,1,"Rua São Paulo, 1147",89030-001,Blumenau,SC,15/11/2021,PRESENCIAL,4.0,4.4,3,2149.0,186.0,2.0,Não,produção,produtividade,11.553763440860216,Até 2 anos
20,Programa de Desenvolvimento de Lideranças e Comprometimento,1,"Rua São Paulo, 1147",89030-001,Blumenau,SC,15/11/2021,PRESENCIAL,3.0,3.4,3,677.36,16.0,2.0,Não,pessoas,liderança,42.335,Até 2 anos
21,Administração Financeira,1,"Rua Henrique Vigarani, 163",88305-610,Itajaí,SC,15/11/2021,PRESENCIAL,1.0,1.1,3,661.0,40.0,2.0,Não,financeiro,gestão financeira,16.525,Até 2 anos
22,Controle de Qualidade Industrial,1,"Rua Henrique Vigarani, 163",88305-610,Itajaí,SC,15/11/2021,PRESENCIAL,4.0,4.1,3,542.0,30.0,3.0,Não,produção,processo produtivo,18.066666666666666,Entre 2 e 5 anos
23,Formação Gerencial,1,"Rodovia BR-101, 7235",88104-800,São José,SC,15/11/2021,PRESENCIAL,3.0,3.3,2,386.0,16.0,3.0,Não,pessoas,retenção,24.125,Entre 2 e 5 anos
24,Gestão de Recursos Humanos,1,"Rodovia BR-101, 7235",88104-800,São José,SC,15/11/2021,PRESENCIAL,3.0,3.3,2,979.0,60.0,3.0,Não,pessoas,retenção,16.316666666666666,Entre 2 e 5 anos
25,PÓS-GRADUAÇÃO EM GESTÃO DE NEGÓCIOS,2,"Av. Dr. Cardoso de Melo, 1.184",04548-004,São Paulo,SP,15/11/2021,PRESENCIAL,4.0,4.1,2,38650.0,516.0,4.0,Não,produção,processo produtivo,74.90310077519379,Acima de 5 anos
26,PÓS-GRADUAÇÃO EM GESTÃO DE MARKETING E ESTRATÉGIAS INOVADORAS DE MERCADO,2,"Rua Odila Maia Rocha Brito, 394",13092-110,Campinas,SP,15/11/2021,PRESENCIAL,2.0,2.7,2,39980.0,450.0,4.0,Não,mercado,marketing digital,88.84444444444445,Acima de 5 anos
27,PÓS-GRADUAÇÃO EM GESTÃO DE PESSOAS E LIDERANÇA,2,"Rua Odila Maia Rocha Brito, 394",13092-110,Campinas,SP,15/11/2021,PRESENCIAL,3.0,3.4,2,39980.0,450.0,4.0,Não,pessoas,liderança,88.84444444444445,Acima de 5 anos
28,EXECUTIVE MBA,2,"Av. Dr. Cardoso de Melo, 1.184",04548-004,São Paulo,SP,15/11/2021,PRESENCIAL,3.0,3.4,2,122000.0,1500.0,4.0,Não,pessoas,liderança,81.33333333333333,Acima de 5 anos
29,PGA - PROGRAMA DE GESTÃO AVANÇADA,2,"Av. Dr. Cardoso de Melo, 1.184",04548-004,São Paulo,SP,15/11/2021,PRESENCIAL,3.0,3.4,2,180000.0,160.0,4.0,Não,pessoas,liderança,1125.0,Acima de 5 anos
30,"GOVERNANÇA, RISCO E COMPLIANCE",2,"Av. Dr. Cardoso de Melo, 1.184",04548-004,São Paulo,SP,15/11/2021,PRESENCIAL,4.0,4.1,2,6510.0,29.0,4.0,Não,produção,processo produtivo,224.48275862068965,Acima de 5 anos
31,EXECUTIVE MBA,4,"Av. Princesa Diana, 760",34018-006,Nova Lima,MG,15/11/2021,PRESENCIAL,3.0,3.4,2,109000.0,1500.0,4.0,Não,pessoas,liderança,72.66666666666667,Acima de 5 anos
32,MPA - MESTRADO PROFISSIONAL EM ADMINISTRAÇÃO,4,"Av. Princesa Diana, 760",34018-006,Nova Lima,MG,15/11/2021,PRESENCIAL,3.0,3.4,2,118650.0,360.0,4.0,Não,pessoas,liderança,329.5833333333333,Acima de 5 anos
33,GESTÃO ECONÔMICO-FINANCEIRA,4,,,,MG,15/11/2021,VÍDEOS,1.0,1.1,2,6100.0,40.0,4.0,Sim,financeiro,gestão financeira,152.5,Acima de 5 anos
